layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,iter2_r,iter2_eta,kstest_stat_iter2,iter3_r,iter3_eta,kstest_stat_iter3,n_pval_0.05
2,803.4738915767241,751.3789238252615,857.0285276556816,0.0949958151995837,-0.0973116823063754,0.2997535367081866,3180.0,0.42,5.7,0.0180689502674165,0.0240303354829301,0.0603464121561223,0.26,0.42,5.679,0.017519866326516365,0.42,5.68,0.017541840618859696,0.42,5.679,0.017519866326516365,,,,6034
3,275.2701919978752,264.5901666603167,286.2886897086788,0.3744034782467729,0.2192213484449195,0.5460580400983893,12720.0,0.51,7.3,0.0046148019531871,0.0120285145061138,0.0370116468567985,0.29,0.5089,7.211,0.004221089215717844,0.509,7.22,0.004263263762185443,0.5089,7.211,0.004221089215717844,,,,108666
4,80.84772778375272,77.04618631586663,84.70615414988869,1.357251043392206,1.030758918825306,1.8553569137488408,50880.0,0.44,1.4,0.0062703615061079,0.0060175634983601,0.0233190867788937,0.34,0.4354,1.3,0.005286301716882269,0.436,1.31,0.005315234043698491,0.4354,1.3,0.005286301716882269,,,,64395
5,19.88230515098137,18.762781343385896,21.05614985562436,3.074957053632871,2.230656897496996,5.079245246997636,203520.0,0.47,0.2,0.0052358200565705,0.0030096044936828,0.0056530692911349,0.44,0.4591,0.10991,0.003592408525127433,0.46,0.12,0.0038663879283301616,0.4591,0.11,0.0035957901663448144,0.4591,0.10991,0.003592408525127433,144888
6,4.187364553076183,3.884993289445004,4.5871605926200925,7.592764224378456,3.861297385909153,29.02865885632808,814080.0,0.51,-0.6,0.004349237335685,0.0015050074551751,0.0205070641290542,0.74,0.51779,-0.57791,0.003537784678162348,0.517,-0.58,0.0035895185931051343,0.5178,-0.578,0.0035424336704389936,0.51779,-0.57791,0.003537784678162348,152640
7,0.8192845024504771,0.7473533768499553,0.9160540329754048,13.123555022135871,6.05041073157494,48.18221392473739,3256320.0,0.97,-0.9,0.0104127842887138,0.0007525549699048,0.0822836280982773,6.1,0.97379,-0.9,0.01024815815633262,0.974,-0.9,0.010258438863615882,0.9738,-0.9,0.010248647867938443,0.97379,-0.9,0.01024815815633262,18109
8,0.1367438340943053,0.1174314706124849,0.2117462508126412,172.66156824758897,8.088639881912263,756.9424737418955,13025280.0,1.44,-1.2,0.0515196286692787,0.0003762902880576,0.2273512792042799,6.0,1.4509,-1.2159,0.045043288981819474,1.45,-1.22,0.04682376474786998,1.4509,-1.216,0.04508604065679178,1.4509,-1.2159,0.045043288981819474,894
