band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,421189300.0,217515372.64,728990594.5600026,567.5150736749431,196.3088771539461,1039.5421337234582,45000.0,0.16,1.0,0.0088467481160276,0.0063984224173442,0.0401208539727544,0.14,0.158,0.91,0.006226041378355918,0.158,0.91,0.006226041378355918,48052
5,256399040.0,107458476.96,604408531.2000014,1477.1004426341938,140.56310133516558,3171.01665028677,117000.0,0.17,1.3,0.010595600695423,0.0039690102483117,0.0431793834989703,0.14,0.169,1.25,0.009552856305624524,0.169,1.25,0.009552856305624524,20821
8,94868930.0,40432556.82,269010681.2800008,1959.0045230504163,140.7300653211494,4604.445353823784,189000.0,0.18,1.5,0.0095510459937379,0.0031230403979095,0.04532621178389,0.15,0.178,1.42,0.007421813000292529,0.178,1.42,0.007421813000292529,35437
11,42741930.0,16364338.66,123588229.4400001,2502.583590607967,133.89415385817534,4663.584286061421,495000.0,0.18,1.2,0.0045392488036209,0.0019299803152697,0.0366510162947267,0.15,0.179,1.14,0.00432382859927638,0.179,1.14,0.00432382859927638,104413
14,15121418.0,6408815.8950000005,42255503.960000016,2236.7607409278417,106.83933131874304,4308.858979599251,1134000.0,0.19,1.4,0.0057677017083533,0.0012751894232635,0.0450818922058641,0.16,0.189,1.33,0.0037169894464247916,0.189,1.33,0.0037169894464247916,134550
17,6578937.5,2961992.06375,17241781.42,1863.936212593672,95.43343660888776,3828.629412824856,2574000.0,0.19,1.0,0.0070037326682624,0.0008464353782179,0.0390995150268799,0.16,0.191,1.08,0.0026082358071736903,0.191,1.08,0.0026082358071736903,271476
20,3620059.8,1542817.636875,14403666.305000002,5286.257357753599,82.38473072813537,5972.208103161303,5967000.0,0.2,1.1,0.00727401972406,0.0005559445407404,0.0304009116644194,0.17,0.197,1.02,0.003416622298249905,0.197,1.02,0.003416622298249905,157332
23,3205381.5,574030.5896875,29284526.260000005,27192.082645797127,81.77819418770704,9130.18389511831,13887000.0,0.2,0.6,0.0088741251500463,0.0003644288842482,0.0233491115649958,0.18,0.2,0.64,0.0042838693453018314,0.2,0.64,0.0042838693453018314,102981
26,2340697.0,151495.303046875,21622056.430000003,39856.977893427735,82.39868404444734,9684.787882090584,31968000.0,0.21,0.3,0.0102335694271203,0.0002401951053511,0.0185962447756703,0.2,0.206,0.21,0.007677170477757511,0.206,0.21,0.007677170477757511,31218
29,106990.04,19497.7558984375,898940.5721875025,24151.662765955,91.3546577051745,9016.351192562292,73701000.0,0.23,-0.1,0.0158152300297693,0.0001581934199511,0.0252161408500545,0.24,0.222,-0.2,0.010680420737200214,0.222,-0.2,0.010680420737200214,17077
