band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,166042.38,157998.03046875,174433.438828125,1.6213518440011452,1.1836830818584758,2.159778026202132,31800.0,0.29,7.5,0.004659895738945,0.0076105772670922,0.0524483673147195,0.18,0.29,7.49,0.0043305270321885025,0.29,7.49,0.0043305270321885025,101871
5,88873.2,84620.583671875,93301.8328515625,1.5568817105375024,1.03486693981929,2.247035734747494,41340.0,0.29,6.1,0.0032412993637708,0.0066754871311422,0.0688999324191177,0.18,0.29,6.09,0.002839422252387258,0.29,6.09,0.002839422252387258,235443
8,48739.906,46426.74337890625,51128.36724609375,1.54157428346236,1.0658181372194286,2.175571569805044,66780.0,0.31,6.9,0.003290474847042,0.0052529256547175,0.0488382683887823,0.19,0.31,6.9,0.0032904748470420353,0.31,6.9,0.0032904748470420353,169036
11,27771.78,26384.78658203125,29233.971728515626,1.9223003766315288,1.152667280306034,3.3220059393245784,104940.0,0.31,5.6,0.003336576862059,0.0041907897336608,0.048296402990667,0.2,0.311,5.67,0.0023282254371208566,0.311,5.67,0.0023282254371208566,354172
14,15175.327,14446.182202148437,15943.683618164065,1.705794818261413,1.083742452596842,3.005844385384606,162180.0,0.34,7.0,0.0028282087059341,0.003371320732074,0.0558588887178043,0.21,0.339,6.9,0.0028194530782438276,0.339,6.9,0.0028194530782438276,243270
17,8489.967,8074.9392578125,8925.657485351563,1.7715885267107243,1.1085786338671413,3.490514084967369,257580.0,0.34,5.5,0.0014878686981455,0.0026752851133031,0.0551109106893927,0.22,0.339,5.41,0.00138717729491801,0.339,5.41,0.00138717729491801,977998
20,4270.1167,4059.781999511719,4497.9746875,1.9561996461227336,1.1437148451988162,5.900500633457273,381600.0,0.35,4.7,0.0009142130702565,0.0021980660924352,0.0457783506114154,0.23,0.35,4.7,0.0009142130702565754,0.35,4.7,0.0009142130702565754,2173330
23,2001.448,1901.4484185791016,2108.50064819336,2.041855759894392,1.2526940818956651,3.881747298536446,610560.0,0.37,4.3,0.0021684655749866,0.0017377962858799,0.0382317582917409,0.24,0.369,4.26,0.0015469386253499917,0.369,4.26,0.0015469386253499917,772740
26,805.73254,756.1401196289063,869.2768804931642,5.035482695633773,1.8246825383804928,19.982925355144737,973080.0,0.39,3.4,0.0017241389546912,0.0013765848003003,0.0383265087344482,0.26,0.39,3.42,0.0009875166271209324,0.39,3.42,0.0009875166271209324,1847331
29,254.74072,229.8784866333008,294.46869308471685,20.92268509079589,4.499840040853719,88.63336308299715,1376940.0,0.43,2.6,0.0020862380669265,0.0011572531101864,0.0274146022664537,0.3,0.428,2.53,0.001861150374735776,0.428,2.53,0.001861150374735776,516352
32,21.90403,20.86936589241028,22.976417598724368,1.4744661824708905,0.9926829596389716,2.4855538977600524,419760.0,0.62,2.5,0.0019596527303885,0.0020957932105484,0.024638592209093,0.41,0.624,2.58,0.0016836593912770148,0.624,2.58,0.0016836593912770148,629640
