band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,157269.88,149264.115546875,165654.37648437504,2.019592929404322,1.4713488972830897,2.704435950580284,31800.0,0.28,6.0,0.0045451803427273285,0.007610577267092261
5,83422.35,79257.1659375,87787.9315625,1.9039825295327724,1.275783476965329,2.832161703489285,41340.0,0.3,7.0,0.0034431634899998453,0.006675487131142218
8,45610.926,43328.33033203125,47969.34458984376,1.9376043106290477,1.3123015438002692,2.8375483275062785,66780.0,0.3,5.6,0.003304518406447965,0.005252925654717587
11,25793.922,24441.88783203125,27232.032421875003,2.370253207183583,1.3658777920827772,4.514506717870704,104940.0,0.32,6.3,0.0029474386932551444,0.004190789733660874
14,14051.502,13346.594384765624,14808.06669433594,2.089290984610892,1.2751458159178972,4.009897707978745,162180.0,0.33,5.8,0.0027655635726817063,0.0033713207320740964
17,7919.1426,7515.967126464844,8348.544077148437,2.151878615286189,1.2933547809303674,4.51329265157181,257580.0,0.33,4.5,0.0026296412847192085,0.0026752851133031844
20,4052.6973,3844.855645751953,4287.258894042969,2.416864364726531,1.276759486873233,9.097824510685848,381600.0,0.34,3.9,0.0028775822856249578,0.002198066092435259
23,1979.6365,1878.425589599609,2088.5791137695314,2.2481487435794323,1.3707933585696574,4.596757654938451,610560.0,0.37,4.3,0.002799750796292466,0.0017377962858799252
26,868.0049,815.8723529052735,934.2968762207032,4.653831204791653,1.6947180855929826,18.9981304460308,973080.0,0.39,3.6,0.0019934210539457875,0.0013765848003003353
29,329.39447,302.999197845459,371.5748420715333,13.155253839187608,2.8388611532309307,66.0983641130641,1376940.0,0.43,3.2,0.0015141766024994174,0.0011572531101864485
32,44.476166,42.37670640945434,46.64084260940552,1.45971231425142,1.005672161892362,2.262222017059093,419760.0,0.55,2.7,0.002008075197513115,0.0020957932105484973
