band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,999561700.0,204592580.0,2628284000.0,2560.448,254.06493,4885.9946,45000.0,0.17,1.6,0.011757393528055264,0.0063984224173442
5,822668160.0,107130340.0,4312078300.0,11296.463,211.93416,8693.06,117000.0,0.16,0.7,0.010626180364666338,0.003969010248311788
8,268978080.0,40919290.0,1513917300.0,12397.883,231.86043,8746.288,189000.0,0.17,0.9,0.009357090992370198,0.003123040397909581
11,104379220.0,16437442.0,477483070.0,7007.3823,198.42516,8168.139,495000.0,0.19,1.7,0.007427997139522802,0.0019299803152697053
14,35322284.0,6649203.5,155114980.0,6816.9365,155.40468,7821.2173,1134000.0,0.2,1.9,0.007840323673100946,0.0012751894232635628
17,17681448.0,3249794.5,90895730.0,8762.245,140.5492,8233.505,2574000.0,0.2,1.5,0.005087422530601241,0.0008464353782179778
20,5851414.5,1784321.6,22182880.0,4678.858,125.979675,6448.191,5967000.0,0.19,0.7,0.006414373718119704,0.0005559445407404772
23,3808226.2,689270.8,26820492.0,16237.41,112.20886,8765.997,13887000.0,0.2,0.6,0.009305313332872434,0.0003644288842482448
26,1856457.5,179856.75,18140664.0,34364.82,99.13389,9564.748,31968000.0,0.2,0.1,0.007721319204213595,0.0002401951053511448
29,155747.58,22201.857,971773.75,16498.633,112.685905,8910.251,73701000.0,0.22,-0.2,0.017596255836414776,0.00015819341995114793
32,13604.016,2322.3442,84511.875,14057.532,96.955154,8716.859,59634000.0,0.27,-0.2,0.015373991810575027,0.00017586420018087293
