band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,299433540.0,175934100.0,509074180.0,473.18463,99.1504,1014.4304,45000.0
5,198747680.0,95555010.0,699319550.0,2945.4336,103.131584,5357.3315,117000.0
8,63282876.0,35275360.0,138901260.0,918.95044,92.98185,2773.2476,189000.0
11,36580880.0,14838584.0,157073860.0,6517.1216,79.5228,6402.979,495000.0
14,11849475.0,6219774.5,33301018.0,1856.4797,73.469666,4078.704,1134000.0
17,7712681.0,2961589.0,38807548.0,9698.964,65.48385,7453.9814,2574000.0
20,4424362.0,1715439.8,23333856.0,8663.62,69.63403,7121.583,5967000.0
23,1867623.2,629367.1,12235534.0,16824.38,62.493916,8304.521,13887000.0
26,1038924.0,166929.73,9786948.0,32372.2,72.06781,9321.79,31968000.0
29,162784.4,20970.46,1695741.2,37523.438,87.71749,9485.272,73701000.0
