layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,18678.61009540066,17966.073885968824,19422.0809094604,4.316036542628275,3.3173898683697214,5.573077285799902,27208.0,0.21,0.0,0.0209023041009651,0.0082273201196278,0.0209023041009651,0.21,0.205,-0.1,0.0195055256964585,0.205,-0.1,0.0195055256964585,5101,97.7838,0.0442326,1.07351e-46,81.3967,0.0263205,8.30072e-17,68.2799,0.0315792,5.24046e-24,2.0106e-09
3,5005.06364996813,4855.965345748273,5158.679695823394,11.797886323503205,9.04423708210281,15.566046551977903,108832.0,0.09,-1.3,0.1324399999999999,0.0041152012481055,0.1324436835434171,0.29,0.086,-1.37,0.1324399999999998,0.086,-1.37,0.1324399999999998,106,21.6941,0.133661,0.0,14.961,0.132445,0.0,12.0824,0.132451,0.0,0.0
4,1581.178009970149,1537.6271808260765,1624.3946540411584,9.157593274899822,7.79471084423734,11.019768892401329,333298.0,0.18,-0.9,0.0770699999999999,0.0023519198649528,0.0868259032700284,0.3,0.171,-0.92,0.0770699999999999,0.171,-0.92,0.0770699999999999,306,16.0489,0.103689,0.0,12.4419,0.090926,0.0,10.0389,0.0938868,0.0,0.0
5,447.8472149452864,435.5011215274768,461.31874813212926,10.530339652417291,7.889794844051884,15.65880379607056,1149538.0,0.17,-1.1,0.0421565516876523,0.0012665428950382,0.0739393254382319,0.34,0.162,-1.14,0.0421540398569258,0.162,-1.14,0.0421540398569258,1062,9.32952,0.0897427,0.0,7.24372,0.0762021,0.0,5.83018,0.0791294,0.0,0.0
6,107.2819742478466,104.3172664764436,110.3876410452064,10.589933367133083,8.557734639668816,13.71780521523767,4251250.0,0.22,-1.0,0.0236604536101603,0.000658638529926,0.0581787326998605,0.41,0.228,-0.97,0.0213041515151274,0.228,-0.97,0.0213041515151274,4151,4.95239,0.0769472,0.0,3.96845,0.0592094,0.0,3.20815,0.0629356,0.0,0.0
7,23.563499987013888,22.718359560125865,24.468354220278464,18.38757785188397,12.287278458950874,29.259174481250984,17005000.0,0.28,-1.0,0.0185749443494304,0.000329329071013,0.0645622123757102,0.6,0.27,-1.03,0.0137643575104323,0.27,-1.03,0.0137643575104323,9340,2.01432,0.0822589,0.0,1.66087,0.0609,0.0,1.31932,0.0643679,0.0,0.0
8,5.003841156583901,4.767092732483064,5.268274193818782,36.42039154944765,18.09440004186869,73.73345762024323,68020000.0,0.43,-1.0,0.0124702158003652,0.0001646669863926,0.065002306435416,1.57,0.42,-1.01,0.0116561437028447,0.42,-1.01,0.0116561437028447,14010,0.853965,0.0785847,0.0,0.739293,0.0523453,0.0,0.580553,0.0534842,0.0,0.0
9,0.9259197770065432,0.8622323254052588,1.0168245287635735,103.43257167463028,23.13915969176765,238.26036545976643,272080000.0,1.23,-1.0,0.016603462174967,8.233410583957582e-05,0.121876766720542,6.1,1.229,-1.0,0.0165857006105411,1.229,-1.0,0.0165857006105411,7003,0.433595,0.0589774,0.0,0.381958,0.0318252,0.0,0.30426,0.0301626,0.0,0.0
